CODGEO;P19_POP;SUPERF;SUP_QUALI;NOM;MARS
13001;145133;186.08;superieur;Aix-en-Provence;0
13002;21372;50.3;superieur;Allauch;0
13003;2626;16.78;inferieur;Alleins;0
13004;50454;758.93;;Arles;0
13005;47535;54.9;superieur;Aubagne;0
13006;1545;21.74;inferieur;Aureille;0
13007;12922;44.64;superieur;Auriol;0
13008;563;12.82;inferieur;Aurons;0
13009;828;22.85;inferieur;La Barben;0
13010;4192;27.13;inferieur;Barbentane;0
13011;342;18.07;inferieur;Les Baux-de-Provence;0
13012;593;9.86;inferieur;Beaurecueil;0
13013;1916;12.97;inferieur;Belcodène;0
13014;13660;43.64;superieur;Berre-l'Étang;0
13015;14838;21.75;inferieur;Bouc-Bel-Air;0
13016;6270;12.61;inferieur;La Bouilladisse;0
13017;1509;19.33;inferieur;Boulbon;0
13018;4439;20.91;inferieur;Cabannes;0
13019;9918;36.55;inferieur;Cabriès;0
13020;2168;4.18;inferieur;Cadolive;0
13021;5690;10.1;inferieur;Carry-le-Rouet;0
13022;6905;26.87;inferieur;Cassis;0
13023;4729;22.61;inferieur;Ceyreste;0
13024;2669;14.41;inferieur;Charleval;0
13025;2380;13.15;inferieur;Châteauneuf-le-Rouge;0
13026;17606;31.65;inferieur;Châteauneuf-les-Martigues;0
13027;16063;34.95;inferieur;Châteaurenard;0
13028;35993;31.46;inferieur;La Ciotat;0
13029;1437;14.95;inferieur;Cornillon-Confoux;0
13030;5244;38.81;superieur;Cuges-les-Pins;0
13031;3768;2.93;inferieur;La Destrousse;0
13032;8030;34.07;inferieur;Éguilles;0
13033;5783;25.83;;Ensuès-la-Redonne;0
13034;1740;33.97;inferieur;Eygalières;0
13035;6844;68.75;superieur;Eyguières;0
13036;4496;20.78;inferieur;Eyragues;0
13037;8744;13.98;inferieur;La Fare-les-Oliviers;0
13038;3544;40.18;superieur;Fontvieille;0
13039;15687;92.31;superieur;Fos-sur-Mer;0
13040;10161;30.02;inferieur;Fuveau;0
13041;21521;27.02;inferieur;Gardanne;0
13042;6635;32.75;inferieur;Gémenos;0
13043;9887;8.64;inferieur;Gignac-la-Nerthe;0
13044;5196;27.6;inferieur;Grans;0
13045;4856;23.54;inferieur;Graveson;0
13046;4271;6.15;inferieur;Gréasque;0
13047;43626;113.73;superieur;Istres;0
13048;4406;80.35;superieur;Jouques;0
13049;2037;19.19;inferieur;Lamanon;0
13050;9909;65.34;superieur;Lambesc;0
